titulo,moeda,preco_promo,condition_promo,parcelado,memoria,oled,lite,joy_con,marca,console
"Console Nintendo Switch Oled com Joy-Con, Branco - HBGSKAAA2",R$,2138.07,no Pix ,ou 2299.00 em 10x de 229.90 sem juros,-,Sim,Nao,Sim,Nintendo,Nintendo Switch
Nintendo Switch 32GB 1 Par Joy-con + Mario Kart 8,R$,2521.03,no Pix ,ou 2599.00 em 7x de 371.29 sem juros,32GB,Nao,Nao,Sim,Nintendo,Nintendo Switch
Nintendo Switch 64GB Oled Edição Especial,R$,2819.06,no Pix ,ou 2999.00 em 7x de 428.43 sem juros,64GB,Sim,Nao,Nao,Nintendo,Nintendo Switch
"Nintendo Switch Lite 32GB Coral 5,5”",R$,1648.03,no Pix ,ou 1699.00 em 10x de 169.90 sem juros,32GB,Nao,Sim,Nao,Nintendo,Nintendo Switch
"Nintendo Switch Lite 32 GB Turquesa Standard LCD 5,5""",R$,1339.0,no Pix ,ou 1339.00 em 10x de 133.90 sem juros,32 GB,Nao,Sim,Nao,Nintendo,Nintendo Switch
Nintendo Switch Oled 64GB 1x Joy-Con Branco Standard - HEGSKAAAA,R$,2580.0,no Pix ,ou 2580.00 em 10x de 258.00 sem juros,64GB,Sim,Nao,Sim,Nintendo,Nintendo Switch
Nintendo Switch 32GB HAC-001-01 1 Controle Joy-Con,R$,2443.06,no Pix ,ou 2599.00 em 10x de 259.90 sem juros,32GB,Nao,Nao,Sim,Nintendo,Nintendo Switch
"Nintendo Switch Lite 32 GB Coral Standard LCD 5,5""",R$,1245.27,no Pix ,ou 1339.00 em 10x de 133.90 sem juros,32 GB,Nao,Sim,Nao,Nintendo,Nintendo Switch
Console Nintendo Switch 32GB com JoyCon Azul e Vermelho Neon V2,R$,2207.99,no Pix ,ou 2299.99 em 10x de 230.00 sem juros,32GB,Nao,Nao,Nao,Nintendo,Nintendo Switch
Console Nintendo Switch Oled 64gb - Branco,R$,2339.99,no Pix ,ou 2599.99 em 10x de 260.00 sem juros,-,Sim,Nao,Nao,Nintendo,Nintendo Switch
Console Nintendo Switch 32GB com JoyCon Azul e Vermelho Neon V2 HBDSKABH1,R$,1933.47,no Pix ,ou 2079.00 em 10x de 207.90 sem juros,32GB,Nao,Nao,Nao,Nintendo,Nintendo Switch
Console Nintendo Switch Mario Kart 8 Digital Deluxe Joy-Con Neon,R$,2399.99,no Pix ,ou 2499.99 em 10x de 250.00 sem juros,-,Nao,Nao,Sim,Nintendo,Nintendo Switch
Nintendo Switch 32GB 1 Controle Joy-Con,R$,2299.08,no Pix ,ou 2499.00 em 10x de 249.90 sem juros,32GB,Nao,Nao,Sim,Nintendo,Nintendo Switch
New Nintendo Switch Oled 64gb Branco,R$,2339.99,no Pix ,ou 2599.99 em 10x de 260.00 sem juros,-,Sim,Nao,Nao,Nintendo,Nintendo Switch
Nintendo Switch 64GB 2 Controles Joy-con,R$,2521.03,no Pix ,ou 2599.00 em 10x de 259.90 sem juros,64GB,Nao,Nao,Sim,Nintendo,Nintendo Switch
Nintendo Switch 32GB 1 Controle Joy-Con,R$,2299.08,no Pix ,ou 2499.00 em 10x de 249.90 sem juros,32GB,Nao,Nao,Sim,Nintendo,Nintendo Switch
Nintendo Switch 32GB HAC-001-01 1 Controle Joy-Con,R$,2443.06,no Pix ,ou 2599.00 em 10x de 259.90 sem juros,32GB,Nao,Nao,Sim,Nintendo,Nintendo Switch
"Console De Videogames Nintendo Switch Oled 17,8 Cm (7 ) 64 Gb Ecrã Táctil Wi-fi Branco",R$,2339.99,no Pix ,ou 2599.99 em 10x de 260.00 sem juros,64 Gb,Sim,Nao,Nao,Nintendo,Nintendo Switch
Nintendo Switch Oled 64gb Standard Cor Branco E Preto,R$,2339.99,no Pix ,ou 2599.99 em 3x de 866.66 sem juros,-,Sim,Nao,Nao,Nintendo,Nintendo Switch
Nintendo Switch Lite Azul-Turquesa,R$,1424.91,no Pix ,ou 1499.90 em 10x de 149.99 sem juros,-,Nao,Sim,Nao,Nintendo,Nintendo Switch
"Nintendo Switch 32GB, 1x Joycon, Cinza - HAD S KAAA2 BRA",R$,2507.89,no Pix ,ou 2507.89 em 10x de 250.79 sem juros,32GB,Nao,Nao,Nao,Nintendo,Nintendo Switch
Nintendo Switch 32GB 1 Par Joy-con + Mario Kart 8,R$,2948.9,no Pix ,ou 2948.90 em 10x de 294.89 sem juros,32GB,Nao,Nao,Sim,Nintendo,Nintendo Switch
Console Nintendo Switch Azul e Vermelho com Mario Kart 8,R$,2999.0,no Pix ,ou 2999.00 em 10x de 299.90 sem juros,-,Nao,Nao,Nao,Nintendo,Nintendo Switch
"Console Nintendo Switch Lite com Tela 5,5 LCD 32GB Turquesa",R$,1499.9,no Pix ,ou 1499.90 em 10x de 149.99 sem juros,32GB,Nao,Sim,Nao,Nintendo,Nintendo Switch
Nintendo Switch Pro Controller Preto,R$,427.0,no Pix ,ou 427.00 em 9x de 47.44 sem juros,-,Nao,Nao,Nao,Nintendo,Nintendo Switch
"Console Nintendo Switch Lite 32GB Coral Tela 5,5 Portatil",R$,1399.9,no Pix ,ou 1399.90 em 10x de 139.99 sem juros,32GB,Nao,Sim,Nao,Nintendo,Nintendo Switch
Dock para Nintendo Switch Super Mario Bros,R$,169.9,no Pix ,ou 169.90 em 3x de 56.63 sem juros,-,Nao,Nao,Nao,Nintendo,Nintendo Switch
"Nintendo Switch Lite 32 GB Azul Standard LCD 5,5""",R$,1339.0,no Pix ,ou 1339.00 em 10x de 133.90 sem juros,32 GB,Nao,Sim,Nao,Nintendo,Nintendo Switch
Console Nintendo Switch Oled Branco - Nintendo,R$,2469.89,no Pix ,ou 2469.89 em 10x de 246.99 sem juros,-,Sim,Nao,Nao,Nintendo,Nintendo Switch
Console Nintendo Switch Mario Kart 8 Deluxe Bundle (Full Game Download + 3 Meses Nintendo Switch Online Membership Incluso) NINTENDO,R$,2713.82,no Pix ,ou 2713.82 em 10x de 271.38 sem juros,-,Nao,Nao,Nao,Nintendo,Nintendo Switch
Console Nintendo Switch Oled Zelda Tears Of The Kingdom Edição Especial,R$,2721.51,no Pix ,ou 3023.90 em 10x de 302.39 sem juros,-,Sim,Nao,Nao,Nintendo,Nintendo Switch
Alça de Pulso e Perna para Jogos do Nintendo Switch/Oled,R$,75.73,no Pix ,ou 243.79 em 5x de 48.76 sem juros,-,Sim,Nao,Nao,Nintendo,Nintendo Switch
Dock TV Nintendo Switch Stand Suporte,R$,243.79,no Pix ,ou 2999.99 em 6x de 500.00 sem juros,-,Nao,Nao,Nao,Nintendo,Nintendo Switch
Console Nintendo Switch OLED Zelda Tears of the Kingdom,R$,2999.99,no Pix ,ou 3499.00 em 10x de 349.90 sem juros,-,Sim,Nao,Nao,Nintendo,Nintendo Switch
